Player Hand,Dealer Hand,Action,Player Ace 11,Times Selected,Q Value
16,6,False,STAND,3277,-0.1422032346658529
16,6,False,HIT,5,-0.3381040041947386
18,7,False,STAND,4751,0.39444327509997895
18,7,False,HIT,2,-1.0
19,4,True,STAND,629,0.40063593004769477
19,4,True,HIT,4,-0.7890570994616286
19,11,False,STAND,4600,-0.1267391304347826
19,11,False,HIT,3,-1.0
13,3,True,STAND,1,-1.0
13,3,True,HIT,467,0.8198252171884405
15,6,False,STAND,7,-0.5714285714285714
15,6,False,HIT,3818,0.0012360538943803092
12,6,False,STAND,4203,-0.12919343326195576
12,6,False,HIT,9,-0.18988917906215796
16,5,True,STAND,395,-0.11645569620253164
16,5,True,HIT,1,-1.5
12,2,False,STAND,38,-0.34210526315789475
12,2,False,HIT,3628,0.09678202324879197
20,9,False,STAND,5480,0.7302919708029197
20,9,False,HIT,3,-0.625
17,9,False,STAND,8,-0.5
17,9,False,HIT,3866,-0.06842521658516004
19,9,False,STAND,3206,0.21740486587648158
19,9,False,HIT,3,-1.0
12,10,True,STAND,5,-1.0
12,10,True,HIT,727,0.6503499541659501
16,10,True,STAND,1,-1.0
16,10,True,HIT,2414,0.11808858203981647
19,10,True,STAND,3325,-0.0162406015037594
19,10,True,HIT,8,-0.25640230268754727
14,5,False,STAND,4327,-0.09845158308296742
14,5,False,HIT,5,-0.5723367615892758
17,8,False,STAND,4890,-0.42167689161554195
17,8,False,HIT,4,-0.961648800093239
13,5,False,STAND,3,-0.3333333333333333
13,5,False,HIT,4298,0.08427938559486499
16,5,False,STAND,4097,-0.1257017329753478
16,5,False,HIT,2,-0.5
17,3,False,STAND,4316,-0.11051899907321594
17,3,False,HIT,4,-0.4166666666666667
16,3,False,STAND,21,-0.14285714285714285
16,3,False,HIT,4452,-0.049564902757159676
19,8,False,STAND,4773,0.5696626859417557
19,8,False,HIT,4,-0.75
17,5,False,STAND,4132,-0.02686350435624395
17,5,False,HIT,3,-0.4166666666666667
18,6,False,STAND,3652,0.2713581599123768
18,6,False,HIT,4,-0.8890990060305469
12,7,False,STAND,3,-1.0
12,7,False,HIT,4373,0.08620188764275982
14,11,False,STAND,5,-0.6
14,11,False,HIT,4432,-0.07935948192726797
14,3,False,STAND,2,-1.0
14,3,False,HIT,4079,0.022278845542834658
17,4,False,STAND,3835,-0.07979139504563233
17,4,False,HIT,4,-1.0433906535003743
15,9,False,STAND,3953,-0.5320010118897041
15,9,False,HIT,7,-0.6228687722916072
17,2,False,STAND,4570,-0.137417943107221
17,2,False,HIT,5,-0.8
20,3,False,STAND,5568,0.6255387931034483
20,3,False,HIT,5,-1.0
20,6,False,STAND,4801,0.6854821912101645
20,6,False,HIT,9,-0.8888888888888888
12,3,False,STAND,11,-0.36363636363636365
12,3,False,HIT,4095,0.07836350666792398
19,2,False,STAND,4009,0.3709154402594163
19,2,False,HIT,7,-0.6984126984126985
13,2,False,STAND,7,-0.42857142857142855
13,2,False,HIT,4356,0.05644724102860427
20,2,False,STAND,5700,0.6171929824561404
20,2,False,HIT,4,-0.75
12,5,False,STAND,25,-0.12
12,5,False,HIT,4159,0.10515776913041386
19,5,True,STAND,1,-1.0
19,5,True,HIT,615,1.114469112773884
15,4,False,STAND,4348,-0.1966421343146274
15,4,False,HIT,12,-0.3835145227551835
12,11,False,STAND,7,-0.5714285714285714
12,11,False,HIT,4359,-0.04000561534123038
12,4,True,STAND,174,-0.20689655172413793
12,4,True,HIT,3,-2.312924892812101
14,4,True,STAND,1,-1.0
14,4,True,HIT,479,1.054639770355572
20,9,True,HIT,516,1.7034399285605841
19,2,True,STAND,570,0.41403508771929826
19,2,True,HIT,1,-0.36111111111111105
14,8,False,STAND,6,-0.6666666666666666
14,8,False,HIT,4555,0.016992318629896353
14,2,False,STAND,22,-0.45454545454545453
14,2,False,HIT,4227,0.026067964581518978
18,11,False,STAND,4685,-0.384204909284952
18,11,False,HIT,5,-0.42774872811840403
15,8,False,STAND,4,-0.75
15,8,False,HIT,4708,-0.0017593548509522172
17,4,True,STAND,574,-0.09930313588850175
17,4,True,HIT,4,-0.5002273087422967
14,4,False,STAND,4105,-0.17734470158343482
14,4,False,HIT,18,-0.2749849433865873
16,4,False,STAND,3781,-0.15551441417614387
16,4,False,HIT,7,-0.7566137566137565
20,4,False,STAND,5134,0.6345929100116868
20,4,False,HIT,6,-0.8333333333333334
20,11,False,STAND,6204,0.15038684719535783
20,11,False,HIT,9,-0.8055555555555556
13,7,True,STAND,1,-1.0
13,7,True,HIT,493,0.9319407471224078
